REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.8
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.8
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.9
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.8
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.7
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,82.8
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.6
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.2
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,82.7
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,81.2
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,83.8
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,84.1
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.1
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,86.5
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,89.5
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.7
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,83.8
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,86
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,86.2
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.6
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,84.6
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,84.9
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,84.8
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.9
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.4
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,88.4
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,86.5
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,82.8
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,83.5
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,85.8
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.4
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.7
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,79.4
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,80.4
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.1
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.5
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.8
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.2
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.1
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.6
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.4
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.3
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.4
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,79.3
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,78.4
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.4
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.5
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,83
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,83.9
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.1
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.9
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.2
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.8
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.8
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,82.9
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,83.2
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.2
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.7
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.9
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.1
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.8
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.7
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.4
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.6
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,87
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,83.2
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.5
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.8
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.7
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.8
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,86.6
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,84.4
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.2
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,87.1
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,88.2
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,89.8
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,90.5
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.4
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,85.1
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,45 years and over,87.4
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,117.3
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,116.7
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,112.6
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,111.7
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,117.3
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,115.7
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,116.2
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,115.5
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,113.5
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,115
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,115.4
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,120.1
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,119.7
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,121.3
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,118.5
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,118.5
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,122
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,122.1
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,121.5
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,120.9
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,120.4
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,122
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 54 years,123.3
